GISJOIN,county_name,total,bachelors_degree,gini_index,median_household_income,median_age,white,black,native_american,asian,poverty,owned,occupied
G0100010,Autauga County,55380,0.26571573848582974,0.4542,58731,0.6,0.7679126038280968,0.19028530155290718,0.002527988443481401,0.010346695557963163,0.151851716980445,0.7329064822171333,0.9107819350444813
G0100030,Baldwin County,212830,0.31862459632590395,0.4587,58320,0.3,0.8620542216792746,0.09264671333928487,0.00772917351877085,0.009251515293896537,0.10354072646433035,0.7524527369331521,0.7088924704810623
G0100050,Barbour County,25361,0.11578712981518592,0.4883,32525,0.5,0.46800205039233467,0.4757698828910532,0.0032333109893143016,0.005283703324001419,0.3066868894142838,0.6089887640449438,0.7779072671272788
G0100070,Bibb County,22493,0.10378525482434438,0.4487,47542,1.3,0.7678833414840173,0.22291379540301426,0.0013337482772418086,0.0012003734495176278,0.18127181077937185,0.7441590480336671,0.7502449646162221
G0100090,Blount County,57681,0.13093413083360558,0.457,49358,0.3,0.9545951006397254,0.01608848667672197,0.0007974896413030288,0.003675387042527002,0.1355151642501926,0.7877872115891975,0.8570899971220656
G0100110,Bullock County,10248,0.12054640191522321,0.4731,37785,2.3,0.2189695550351288,0.748048399687744,0,0.004879000780640125,0.28873671300081766,0.7111616018176654,0.7726574500768049
G0100130,Butler County,19828,0.16137202402489326,0.4619,40688,0.7,0.5184587452087956,0.45395400443816825,0.0005547710308654428,0.0034799273754286867,0.22502558853633572,0.6995081463264679,0.6448607394191694
G0100150,Calhoun County,114618,0.18481063862061992,0.4633,47255,0.3,0.7366992967945698,0.20790800746828597,0.003306635955958052,0.008846777992985395,0.1790267343242904,0.7006837798453088,0.8317018142492215
G0100170,Chambers County,33660,0.13296061204758503,0.423,42289,0.7,0.5770350564468212,0.39560308972073677,0.0033273915626856805,0.01117052881758764,0.17252212790381535,0.6745984533016062,0.7916176124323051
G0100190,Cherokee County,25903,0.1275299353608138,0.4515,41919,0.5,0.9285410956259893,0.04597923020499556,0.010809558738370074,0.0024707562830560167,0.13922021039458762,0.7734003911707181,0.6476265154713795
G0100210,Chilton County,44055,0.12723823470678294,0.4719,47468,0.7,0.8361139484734991,0.09172625127681308,0.008194302576325049,0.004426285325161729,0.19115818558600045,0.7449636675134401,0.8557201354835449
G0100230,Choctaw County,12925,0.11930539178904491,0.469,35892,0.3,0.5676595744680851,0.425531914893617,0.0006189555125725338,0.0013152804642166344,0.23348017621145375,0.8090566037735849,0.7202065498029624
G0100250,Clarke County,24128,0.12224209898628503,0.5158,37404,0.8,0.5297165119363395,0.4577254641909814,0.0010775862068965517,0.004310344827586207,0.23209751142712037,0.700990099009901,0.7110450563204005
G0100270,Clay County,13337,0.10561370123691723,0.4615,40845,0.8,0.8316712903951413,0.155582214890905,0.0027742370848016797,0.0015745669940766289,0.17947735458655836,0.7545209696036937,0.7645241947345198
G0100290,Cleburne County,14916,0.1541837610914989,0.457,44741,0.8,0.9385894341646555,0.027487262000536337,0.0009385894341646554,0.00020112630732099757,0.17283529090412456,0.7612676056338028,0.8299240210403273
G0100310,Coffee County,51662,0.22792055081744256,0.4327,55637,0.3,0.7571909720878015,0.16904107467771282,0.012388215709806047,0.014420657349696102,0.15069354395064638,0.6574483035535034,0.8592375366568915
G0100330,Colbert County,54771,0.1814728304114582,0.4467,48065,0.4,0.7903635135381862,0.1619835314308667,0.005824250059337971,0.0047287798287414876,0.15466007963427222,0.7219378427787935,0.8229276365277569
G0100350,Conecuh County,12394,0.12770293218612022,0.4296,37837,0.3,0.5072615781829918,0.47756979183475873,0.002017105050831047,0.004518315313861546,0.1759342180249125,0.7610366791126729,0.6339459760512393
G0100370,Coosa County,10757,0.12822375590265164,0.4515,38990,1,0.6579901459514734,0.3360602398438226,0.0008366644975364879,0,0.13512991403457936,0.7924107142857143,0.6123006833712984
G0100390,Covington County,37200,0.15271235374563136,0.4598,42189,0.5,0.8456989247311828,0.13489247311827957,0.0005913978494623656,0.004946236559139785,0.18586992406734895,0.7447481820630218,0.782672849915683
G0100410,Crenshaw County,13844,0.1740970072239422,0.4921,43163,0.8,0.7135943368968506,0.23316960416064722,0.007006645478185495,0.01264085524414909,0.151581883579241,0.7548047744284847,0.7253118121790169
G0100430,Cullman County,82853,0.13865502546512837,0.4416,44918,0.3,0.9511303151364465,0.01295064753237662,0.0028242791449917324,0.0037898446646470255,0.1486941921884383,0.7480827479538571,0.8200940753659954
G0100450,Dale County,49277,0.18138410576263095,0.4479,47214,0.5,0.7235627168861741,0.20293443188505794,0.007833269070763236,0.01418511678876555,0.17645949852322002,0.600872062107838,0.814006838938666
