,county,state_code,region_code,highest_price,lowest_price,crash_amount
0,Los Angeles County,6,37,593553.0,369102.0,0.37814820243516584
1,Cook County,17,31,309556.0,181506.0,0.4136569796741139
2,Harris County,48,201,145755.0,128343.0,0.11946073891118658
3,Maricopa County,4,13,311044.0,136708.0,0.5604866192564396
4,San Diego County,6,73,574660.0,354517.0,0.38308391048620055
5,Orange County,6,59,734191.0,473340.0,0.3552903808409528
6,Kings County,36,47,548819.0,476109.0,0.13248448031135948
7,Miami-Dade County,12,86,366667.0,169141.0,0.5387067829938337
8,Dallas County,48,113,144765.0,121313.0,0.16200048354229268
9,Queens County,36,81,517530.0,411867.0,0.20416787432612601
10,Riverside County,6,65,450945.0,213602.0,0.5263236093093393
11,San Bernardino County,6,71,394426.0,178954.0,0.5462925872026692
12,Clark County,32,3,359327.0,128543.0,0.6422673497955901
13,King County,53,33,476020.0,314352.0,0.3396243855300197
14,Wayne County,26,163,157238.0,48176.0,0.6936109591828947
15,Tarrant County,48,439,146742.0,129859.0,0.11505226860748798
16,Santa Clara County,6,85,855521.0,593707.0,0.30602872401729475
17,Broward County,12,11,310526.0,148488.0,0.5218178187977818
18,Bexar County,48,29,157768.0,139448.0,0.1161198722174332
19,New York County,36,61,1022808.0,858989.0,0.1601659353466144
20,Philadelphia County,42,101,158321.0,130796.0,0.17385564770308423
21,Alameda County,6,1,673093.0,412130.0,0.3877071964795355
22,Middlesex County,25,17,463938.0,383981.0,0.17234414943376056
23,Suffolk County,36,103,571045.0,434369.0,0.23934365943139332
24,Sacramento County,6,67,416964.0,183151.0,0.5607510480521101
25,Bronx County,36,5,439686.0,297730.0,0.3228576757049349
26,Nassau County,36,59,553923.0,428776.0,0.22592851352985885
27,Palm Beach County,12,99,345183.0,165750.0,0.5198199216067999
28,Cuyahoga County,39,35,146351.0,100775.0,0.31141570607648733
29,Hillsborough County,12,57,262437.0,131555.0,0.49871778750709694
30,Allegheny County,42,3,123464.0,117858.0,0.04540594829261971
31,Oakland County,26,125,236844.0,142197.0,0.39961746972690887
32,Franklin County,39,49,156205.0,122895.0,0.21324541467942768
33,Hennepin County,27,53,275493.0,190110.0,0.3099280199496902
34,Orange County,12,95,293784.0,132676.0,0.5483892928137679
35,Fairfax County,51,59,597415.0,438625.0,0.26579513403580424
36,Contra Costa County,6,13,818962.0,333680.0,0.5925574080360261
37,Salt Lake County,49,35,290910.0,211135.0,0.2742257055446702
38,Travis County,48,453,241061.0,220330.0,0.08599897951140997
39,Saint Louis County,29,189,186064.0,145193.0,0.2196609768681744
40,Pima County,4,19,249917.0,141527.0,0.43370398972458857
41,Montgomery County,24,31,554085.0,401218.0,0.275890883167745
42,Honolulu County,15,3,594332.0,503214.0,0.15331161707597774
43,Westchester County,36,119,687167.0,532242.0,0.22545465658275207
44,Milwaukee County,55,79,158770.0,108169.0,0.3187063047175159
45,Fresno County,6,19,323985.0,149345.0,0.5390373011096192
46,Shelby County,47,157,147885.0,100626.0,0.3195658788923826
47,Fulton County,13,121,273134.0,178559.0,0.3462586129884965
48,Mecklenburg County,37,119,207187.0,161909.0,0.2185368773137311
49,Erie County,36,29,127574.0,120413.0,0.05613212723595717
50,DuPage County,17,43,319922.0,220346.0,0.3112508673989285
51,Fairfield County,9,1,548154.0,388528.0,0.29120648576859787
52,Pinellas County,12,103,235632.0,119345.0,0.4935110681061995
53,Bergen County,34,3,533056.0,411043.0,0.22889339956777524
54,Marion County,18,97,110600.0,95331.0,0.13805605786618444
55,Wake County,37,183,254370.0,219680.0,0.13637614498565082
56,Hartford County,9,3,276282.0,208083.0,0.2468456142636871
57,Duval County,12,31,205435.0,115438.0,0.438080171343734
58,Prince Georges County,24,33,385510.0,203452.0,0.47225234105470676
59,New Haven County,9,9,300656.0,210289.0,0.30056609547123625
60,Macomb County,26,99,177716.0,93810.0,0.47213531702266537
61,Kern County,6,29,295424.0,130531.0,0.5581570894714039
62,Ventura County,6,111,673404.0,387893.0,0.42398174053020177
63,Middlesex County,34,23,389761.0,277733.0,0.287427423472333
64,Gwinnett County,13,135,210822.0,129694.0,0.38481752378783995
65,San Francisco County,6,75,926456.0,711057.0,0.2324978196482078
66,Baltimore County,24,5,306633.0,221104.0,0.278929534655435
67,Hamilton County,39,61,155087.0,122622.0,0.2093341156899031
68,El Paso County,48,141,138505.0,113854.0,0.1779791343272806
69,Montgomery County,42,91,321442.0,269479.0,0.16165591304185514
70,Worcester County,25,27,321896.0,219660.0,0.3176056863086214
71,Pierce County,53,53,313551.0,192580.0,0.3858096450019295
72,Essex County,34,13,450355.0,318900.0,0.2918919519046086
73,Collin County,48,85,229132.0,212718.0,0.07163556377982996
74,Monroe County,36,55,130805.0,126540.0,0.03260578724054891
75,Essex County,25,9,425693.0,322464.0,0.24249635300556974
76,Jefferson County,21,111,144601.0,132211.0,0.08568405474374313
77,Multnomah County,41,51,312375.0,235051.0,0.2475358143257303
78,Suffolk County,25,25,422961.0,345341.0,0.18351573785762754
79,Oklahoma County,40,109,124728.0,117342.0,0.05921685587839138
80,San Mateo County,6,81,953899.0,666348.0,0.30144805686975246
81,Snohomish County,53,61,404537.0,237311.0,0.4133762795492131
82,Lake County,17,97,293118.0,187524.0,0.3602439972980165
83,Dekalb County,13,89,211448.0,119349.0,0.4355633536377738
84,Cobb County,13,67,229047.0,165149.0,0.2789733111544792
85,San Joaquin County,6,77,460671.0,162641.0,0.6469476046896809
86,Will County,17,197,243469.0,168704.0,0.3070822158057083
87,Jackson County,29,95,129451.0,99503.0,0.23134622366764257
88,Norfolk County,25,21,462537.0,370801.0,0.1983322415287858
89,Denton County,48,121,207562.0,194562.0,0.06263188830325397
90,Bernalillo County,35,1,215553.0,171830.0,0.2028410646105598
91,Jefferson County,1,73,145291.0,109850.0,0.24393114508125074
92,Hudson County,34,17,477401.0,318729.0,0.33236629164999654
93,Monmouth County,34,25,485969.0,358984.0,0.26130267568507454
94,Davidson County,47,37,195409.0,164648.0,0.15741854264644925
95,Providence County,44,7,296565.0,185971.0,0.372916561293477
96,Bucks County,42,17,345235.0,284164.0,0.17689689631700145
97,El Paso County,8,41,230312.0,200062.0,0.13134356872416547
