serial,fips,county name,drop,rebound,resilience,note
1,18063,"Hendricks, IN",,,,growing continuously
2,22059,"La Salle, LA",,,,growing continuously
3,36047,"Kings, NY",,,,growing continuously
4,38025,"Dunn, ND",,,,growing continuously
5,38061,"Mountrail, ND",,,,growing continuously
6,38089,"Stark, ND",,,,growing continuously
7,38105,"Williams, ND",,,,growing continuously
8,46083,"Lincoln, SD",,,,growing continuously
9,48027,"Bell, TX",,,,growing continuously
10,48185,"Grimes, TX",,,,growing continuously
11,48311,"McMullen, TX",,,,growing continuously
12,51149,"Prince George, VA",,,,growing continuously
13,48225,"Houston, TX",-0.329331008,0.034862687,9.574557412,
14,29129,"Mercer, MO",0.693449884,2.199312715,4.135588603,
15,47099,"Lawrence, TN",-0.22907608,0.089575992,3.196038788,
16,6003,"Alpine, CA",0.492447657,0.57960199,2.944104336,
17,48033,"Borden, TX",0.090997131,0.260869565,2.807313389,
18,13101,"Echols, GA",0.306706777,0.357692308,2.702035772,
19,13053,"Chattahoochee, GA",0.346550476,0.303172738,2.460357122,
20,29203,"Shannon, MO",0.214980379,0.234336859,2.416456528,
21,45017,"Calhoun, SC",0.188116182,0.221101182,2.408405714,
22,41065,"Wasco, OR",0.211291199,0.226133452,2.385638693,
23,2068,"Denali, AK",0.783082983,0.465322581,2.385759286,
24,32009,"Esmeralda, NV",0.269545273,0.23880597,2.334556982,
25,13319,"Wilkinson, GA",0.297530536,0.23831976,2.283572761,
26,29067,"Douglas, MO",0.381861674,0.265734266,2.265061527,
27,48443,"Terrell, TX",0.079972243,0.151702786,2.25633535,
28,51181,"Surry, VA",0.390255897,0.266666667,2.256265358,
29,48383,"Reagan, TX",0.389886435,0.261331445,2.235214073,
30,48301,"Loving, TX",0.902121628,0.433333333,2.200985662,
31,13265,"Taliaferro, GA",0.561698303,0.310810811,2.191608746,
32,38007,"Billings, ND",0.351228092,0.231143552,2.163063288,
33,51079,"Greene, VA",0.024363633,0.112277354,2.090725376,
34,13141,"Hancock, GA",-0.081897052,0.077464789,2.075822568,
35,47007,"Bledsoe, TN",0.212055276,0.169451074,2.075722752,
36,26039,"Crawford, MI",0.308357642,0.199232491,2.073810523,
37,28021,"Claiborne, MS",0.23488363,0.174614065,2.063664418,
38,29227,"Worth, MO",0.328612135,0.198830409,2.038236155,
39,21065,"Estill, KY",0.244036303,0.171539961,2.02748473,
40,45067,"Marion, SC",0.178338351,0.147886109,1.998956029,
41,38087,"Slope, ND",0.646606144,0.283333333,1.995406138,
42,22111,"Union, LA",0.274334863,0.17475484,1.992300408,
43,26083,"Keweenaw, MI",0.431612243,0.218836565,1.985274854,
44,8079,"Mineral, CO",0.650767045,0.281578947,1.984220896,
45,5147,"Woodruff, AR",0.095649631,0.121298405,1.977123403,
46,21147,"McCreary, KY",0.369049675,0.197621976,1.967979115,
47,42057,"Fulton, PA",0.484733048,0.222989116,1.933250155,
48,38081,"Sargent, ND",0.577817919,0.246976448,1.926742141,
49,29085,"Hickory, MO",0.166260941,0.134010152,1.919384387,
50,6011,"Colusa, CA",0.159392803,0.131637996,1.915209464,
51,47185,"White, TN",0.103304677,0.116234888,1.912474946,
52,8065,"Lake, CO",0.26859169,0.158224246,1.89631193,
53,48447,"Throckmorton, TX",0.179409192,0.133786848,1.889620881,
54,31103,"Keya Paha, NE",0.312489851,0.168141593,1.885573886,
55,38053,"McKenzie, ND",0.208470028,0.140870838,1.885400692,
56,20097,"Kiowa, KS",0.248032732,0.151101784,1.884475934,
57,37187,"Washington, NC",0.330350558,0.17062982,1.871941442,
58,12043,"Glades, FL",0.154599873,0.124108417,1.862791578,
59,48263,"Kent, TX",0.144710968,0.121323529,1.860599271,
60,48101,"Cottle, TX",0.282072091,0.15625,1.859067032,
61,28145,"Union, MS",0.184146199,0.130243708,1.851031002,
62,48129,"Donley, TX",0.257300452,0.146453089,1.83406144,
63,41069,"Wheeler, OR",0.08285999,0.102272727,1.827437628,
64,47061,"Grundy, TN",0.219187737,0.136065574,1.827220989,
65,49017,"Garfield, UT",0.226805789,0.137511693,1.823780408,
66,48507,"Zavala, TX",0.222317236,0.135529608,1.816923236,
67,31075,"Grant, NE",0.236591302,0.138095238,1.809666522,
68,13239,"Quitman, GA",0.400483907,0.178082192,1.809658238,
69,21057,"Cumberland, KY",0.14861066,0.116185359,1.805595754,
70,30017,"Custer, MT",0.001159488,0.079854462,1.799046241,
71,47169,"Trousdale, TN",0.261672353,0.142743222,1.798704901,
72,18067,"Howard, IN",0.27273624,0.145179984,1.79697497,
73,37095,"Hyde, NC",0.23308517,0.135483871,1.79590423,
74,31165,"Sioux, NE",0.245250906,0.137681159,1.790228873,
75,48343,"Morris, TX",0.314510734,0.153584585,1.78543245,
76,2270,"Wade Hampton, AK",0.449378363,0.185166498,1.782050412,
77,40063,"Hughes, OK",0.065949555,0.093510119,1.776471428,
78,8011,"Bent, CO",0.349409388,0.159509202,1.769475074,
79,46095,"Mellette, SD",0.221113615,0.129230769,1.768395111,
80,17007,"Boone, IL",0.502747997,0.195376039,1.768569169,
81,48173,"Glasscock, TX",0.231314564,0.128834356,1.74548887,
82,8109,"Saguache, CO",0.526311711,0.194095941,1.731699615,
83,28129,"Smith, MS",0.132086274,0.104395604,1.72884136,
84,53017,"Douglas, WA",0.265761434,0.134131242,1.724829464,
85,40085,"Love, OK",0.102117344,0.096791163,1.719772336,
86,21189,"Owsley, KY",0.155774141,0.108589951,1.717443017,
87,20049,"Elk, KS",0.176533541,0.113013699,1.71533962,
88,30075,"Powder River, MT",0.193667583,0.116504854,1.7122594,
89,31171,"Thomas, NE",0.294635457,0.138095238,1.705324257,
90,2150,"Kodiak Island, AK",0.039896386,0.081314879,1.699985597,
91,13231,"Pike, GA",0.294480265,0.136697697,1.694719067,
92,30069,"Petroleum, MT",0.408282242,0.161290323,1.692449786,
93,22081,"Red River, LA",0.026701872,0.077278454,1.684457327,
94,35021,"Harding, NM",0.467678941,0.17218543,1.679543706,
95,46137,"Ziebach, SD",0.221242765,0.118773946,1.677966186,
96,49033,"Rich, UT",0.429679314,0.163265306,1.674897475,
97,51109,"Louisa, VA",0.162625424,0.105399634,1.670587053,
98,53013,"Columbia, WA",0.306915727,0.135655362,1.665444771,
99,2282,"Yakutat, AK",0.37132687,0.148550725,1.659442484,
100,13183,"Long, GA",0.330477328,0.139255702,1.654580351,
101,48403,"Sabine, TX",0.231124482,0.117117117,1.64394313,
102,53047,"Okanogan, WA",0.201065969,0.110743381,1.64304498,
103,29153,"Ozark, MO",0.246825023,0.119205298,1.633305734,
104,51155,"Pulaski, VA",0.404331475,0.151082677,1.628314845,
105,45087,"Union, SC",0.113791996,0.0910352,1.625719045,
106,37047,"Columbus, NC",0.173870159,0.102244721,1.613957911,
107,2016,"Aleutians West, AK",0.285689468,0.123425693,1.600731581,
108,13081,"Crisp, GA",0.31817198,0.129903354,1.60039817,
109,48421,"Sherman, TX",0.056079648,0.07719715,1.598612072,
110,16033,"Clark, ID",0.63242565,0.1925,1.59793441,
111,21219,"Todd, KY",0.097036715,0.085188771,1.595970057,
112,54077,"Preston, WV",0.287981233,0.122982321,1.592910771,
113,30065,"Musselshell, MT",0.252537644,0.115826702,1.592033762,
114,19081,"Hancock, IA",0.249173838,0.11487034,1.589368505,
115,20153,"Rawlins, KS",0.110531114,0.087291399,1.588731735,
116,5117,"Prairie, AR",0.080849129,0.080792683,1.580706309,
117,46117,"Stanley, SD",0.12618224,0.089711934,1.580601578,
118,35011,"De Baca, NM",0.226042419,0.109131403,1.578201275,
119,29143,"New Madrid, MO",0.170616729,0.097986577,1.575427206,
120,48109,"Culberson, TX",0.394781012,0.141885326,1.575191129,
121,8111,"San Juan, CO",0.36879487,0.135802469,1.567417204,
122,18147,"Spencer, IN",0.082631304,0.080080545,1.566611884,
123,46041,"Dewey, SD",0.21533712,0.105876393,1.566639504,
124,13063,"Clayton, GA",0.231392817,0.107967926,1.556500253,
125,31021,"Burt, NE",0.09163264,0.080773606,1.552724551,
126,13271,"Telfair, GA",0.711290231,0.199313787,1.550883477,
127,28069,"Kemper, MS",0.185129217,0.09805154,1.545557469,
128,26149,"Saint Joseph, MI",0.322137126,0.12409249,1.544964221,
129,47135,"Perry, TN",0.459861332,0.150340136,1.545076922,
130,18031,"Decatur, IN",0.150540355,0.091240543,1.542991463,
131,6039,"Madera, CA",0.203349683,0.101074384,1.54081552,
132,20031,"Coffey, KS",0.227041916,0.105477223,1.539881258,
133,18115,"Ohio, IN",0.19557598,0.099383139,1.538491466,
134,49001,"Beaver, UT",0.195650402,0.099184199,1.536198503,
135,54035,"Jackson, WV",0.303603294,0.119518991,1.535674309,
136,16073,"Owyhee, ID",0.371672487,0.132243685,1.534640503,
137,48011,"Armstrong, TX",0.543039909,0.164222874,1.532386228,
138,48365,"Panola, TX",0.140310882,0.088062132,1.528124062,
139,47183,"Weakley, TN",0.116978032,0.083503055,1.525766229,
140,40043,"Dewey, OK",0.069685206,0.074592075,1.524854703,
141,1039,"Covington, AL",0.209679992,0.100766417,1.524929669,
142,48205,"Hartley, TX",0.11231076,0.081956798,1.517024624,
143,17071,"Henderson, IL",0.3449986,0.124874119,1.51481611,
144,30025,"Fallon, MT",0.086384498,0.076923077,1.513930149,
145,40045,"Ellis, OK",0.189938524,0.096016343,1.513197853,
146,1013,"Butler, AL",0.240530812,0.104792991,1.507326527,
147,37177,"Tyrrell, NC",0.182230504,0.093959732,1.5060392,
148,51177,"Spotsylvania, VA",0.13721099,0.085666605,1.505726181,
149,29195,"Saline, MO",0.1256171,0.08342208,1.504242701,
150,48045,"Briscoe, TX",0.381579978,0.129496403,1.497205872,
151,13145,"Harris, GA",0.013877303,0.062389119,1.49493227,
152,30035,"Glacier, MT",0.3738439,0.127621483,1.493311794,
153,13131,"Grady, GA",0.269399212,0.108646189,1.493108913,
154,48433,"Stonewall, TX",0.253587599,0.105769231,1.49302804,
155,16013,"Blaine, ID",0.358131905,0.124510955,1.491090031,
156,21127,"Lawrence, KY",0.07928458,0.073883713,1.489254764,
157,47131,"Obion, TN",0.32517181,0.118247694,1.488435489,
158,20077,"Harper, KS",0.136112744,0.084064665,1.488070879,
159,13093,"Dooly, GA",0.401456763,0.131672598,1.48554736,
160,48371,"Pecos, TX",0.130457193,0.082691223,1.483530103,
161,1011,"Bullock, AL",-0.082028974,0.044165171,1.475928977,
